,F,S_parameter,best_val_mse,best_val_mer,test_mse,test_mer
0,20000000000.0,"P(1,3)",0.00017621535516809672,tensor(0.9821),0.00019376295676920563,tensor(0.9498)
1,60000000000.0,"P(1,3)",0.000281950575299561,tensor(0.9619),0.00021999739692546427,tensor(0.9294)
2,100000000000.0,"P(1,3)",0.0002491037594154477,tensor(0.9296),0.00019389163935557008,tensor(0.8505)
3,20000000000.0,"P(1,1)",0.1318555325269699,tensor(0.1019),0.17276142537593842,tensor(0.1039)
4,20000000000.0,"P(1,2)",0.07076483219861984,tensor(0.9160),0.061868224292993546,tensor(0.0461)
5,20000000000.0,"P(1,3)",1.3624094208353199e-05,tensor(0.0337),7.704088602622505e-06,tensor(0.9835)
6,20000000000.0,"P(1,4)",0.00033195619471371174,tensor(0.9931),0.0006549800746142864,tensor(0.9630)
7,60000000000.0,"P(1,1)",0.01456479262560606,tensor(0.0090),0.05145298317074776,tensor(0.0258)
8,60000000000.0,"P(1,2)",0.01620933972299099,tensor(0.9978),0.01794634759426117,tensor(0.9974)
9,60000000000.0,"P(1,3)",9.017764568852726e-06,tensor(0.9810),1.433943361917045e-05,tensor(0.9479)
10,60000000000.0,"P(1,4)",9.669559949543327e-05,tensor(0.4985),0.00010734919487731531,tensor(0.9749)
11,100000000000.0,"P(1,1)",0.009499202482402325,tensor(0.0079),0.00444471649825573,tensor(0.0057)
12,100000000000.0,"P(1,2)",0.0005699846660718322,tensor(0.9995),0.003253280185163021,tensor(0.9997)
13,60000000000.0,"P(1,1)",0.9520635008811951,tensor(0.5950),0.5126379728317261,tensor(0.4952)
14,60000000000.0,"P(1,1)",0.13815143704414368,tensor(0.0640),0.03270813450217247,tensor(0.0224)
15,60000000000.0,"P(1,2)",0.0180060975253582,tensor(0.9951),0.010036241263151169,tensor(0.9973)
16,60000000000.0,"P(1,2)",0.007670576684176922,tensor(0.0122),0.005134675186127424,tensor(0.0057)
17,60000000000.0,"P(1,3)",0.020197730511426926,tensor(0.2299),0.002876197686418891,tensor(0.0775)
18,60000000000.0,"P(1,3)",1.1532190910656936e-05,tensor(0.9529),1.4182021004671697e-05,tensor(0.9594)
19,60000000000.0,"P(1,4)",0.0012919114669784904,tensor(0.9875),0.0012040255824103951,tensor(0.9967)
20,60000000000.0,"P(1,4)",5.063616845291108e-05,tensor(0.9845),0.00011838506179628894,tensor(0.9230)
